TN40,TN40,TN40,TN40,TN40,TN40,TN40,TN40,TN40,TN40,TN40,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42,TN42
CSDEP,CSDIR,CTCN,CTCNIA,NCCO,TYCNGR,CTCNGR,COARCL,CTADR0,NIAF,NIAFBT,CITPCN,LTCN,NRTP,DAIMRE,DAIMMJ,LTCU,CITPFI,CICNFI,CIRGFI,CIDPFI,TXCNT0,TXCNS0,TXCNA0,TXCH2,TXCNU0,TXCNZ2,TXCH24,TXCH23,TXCH0,TXCH1,MOCHD,MNDPDF,MNCHDF,MNCHD,MBTP01,MBTP02,MBTP03,MBTP04,MBTP05,MBTP06,MBTP07,MBTP08,MBTP09,MBTP10,MBTP11,MBTP12,MBTP13,MBTP14,MBTP15,MBTP16,MBTP17,MBTP18,MBTP19,MBTP20,MBTP21,MBTP22,MBTP23,MBTP24,FILLER,CICNGP,FILLER,BX001A
Code departement,Numero de direction sur 1c,CODE COMMUNE DE L'AFT,ancien code cne en presence d ifp,numero de compte fichier coll CFE,type EPCI,code EPCI,type article sur 2 caracteres,code voie du lieu d'imposition,NUMERO IMMEUBLE DE L'AFT,indice repetition b/t/q cfe type 1,indicateur commune differee,Libelle commune au 1/1,numero de role CFE,Date de mise en recouvrement,Date de majoration,LIBELLE DU GROUPEMENT DE COMMUNES,copie role EPCI (CV),"copie de role commune (C,V,"""")","copie role region (C,V,"" "")","copie role departement (C,V,"" "")",taux cfe commune 8 car.                             9(3)V9(5),taux cfe synd. sans fisc propre 8c                  9(3)V9(5),tx cfe add. ou tx uni. hors ZAE 8 c.                9(3)V9(5),taux tse 8 car.                                     9(3)V9(5),taux cfe unique applicable 8 car.                   9(3)V9(5),taux cfe dans la zde 8 caracteres                   9(3)V9(5),taux CFE TGEMAPI                                    9(3)V9(5),taux CFE TASARIF                                    9(3)V9(5),taux chambre de commerce 8 car.                     9(3)V9(5),taux chambre des metiers 8 car.                     9(3)V9(5),total contribution fixe CMA,DF departemental Moselle,droit fixe vote par ass permanente,total des 2 drts fixes + add chm,BM CA <= 10 000 TC HZ,BM CA <= 10 000 TP HZ,BM 10 000 < CA <= 32 600 TC HZ,BM 10 000 < CA <= 32 600 TP HZ,BM 32 600 < CA <= 100 000 TC HZ,BM 32 600 < CA <= 100 000 TP HZ,BM 100 000 < CA <= 250 000 TC HZ,BM 100 000 < CA <= 250 000 TP HZ,BM 250 000 < CA <= 500 000 TC HZ,BM 250 000 < CA <= 500 000 TP HZ,BM CA > 500 000 TC HZ,BM CA > 500 000 TP HZ,BM CA <= 10 000 TC CNE/FPU,BM CA <= 10 000 TP CNE/FPU,BM 10 000 < CA <= 32 600 TC CNE/FPU,BM 10 000 < CA <= 32 600 TP CNE/FPU,BM 32 600 < CA <= 100 000 TC CNE/FPU,BM 32 600 < CA <= 100 000 TP CNE/FPU,BM 100 000 < CA <= 250 000 TC CNE/FU,BM 100 000 < CA <= 250 000 TP CNE/FU,BM 250 000 < CA <= 500 000 TC CNE/FU,BM 250 000 < CA <= 500 000 TP CNE/FU,BM CA > 500 000 TC CNE/FPU,BM CA > 500 000 TP CNE/FPU,,indicateur cne dans MGP,,ZONE BANALISEE 1 CARACTERE X
1,3,4,7,10,16,17,20,22,26,30,31,32,62,65,73,81,131,132,133,134,135,143,151,159,167,175,183,191,199,207,215,219,223,227,231,237,243,249,255,261,267,273,279,285,291,297,303,309,315,321,327,333,339,345,351,357,363,369,375,944,945,950
2,3,6,9,15,16,19,21,25,29,30,31,61,64,72,80,130,131,132,133,134,142,150,158,166,174,182,190,198,206,214,218,222,226,230,236,242,248,254,260,266,272,278,284,290,296,302,308,314,320,326,332,338,344,350,356,362,368,374,943,944,949,950
2,1,3,3,6,1,3,2,4,4,1,1,30,3,8,8,50,1,1,1,1,8,8,8,8,8,8,8,8,8,8,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,569,1,5,1
X,X,X,X,9,X,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,X,X,X,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,15,   ,0,L,500,A1,    ,    , ,P,ANGOULEME                     ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,19,   ,0,L,500,A1,    ,    , ,P,ASNIERES SUR NOUERE           ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,26,   ,0,L,500,A1,    ,    , ,P,BALZAC                        ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,55,   ,0,L,500,A1,    ,    , ,P,BOUEX                         ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1403,1403,2119,2119,2785,2785,3785,3785,537,537,1047,1047,1403,1403,2119,2119,2785,2785,3785,3785,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,61,   ,0,L,500,A1,    ,    , ,P,BRIE                          ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,78,   ,0,L,500,A1,    ,    , ,P,CHAMPNIERS                    ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,101,   ,0,L,500,A1,    ,    , ,P,CLAIX                         ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,113,   ,0,L,500,A1,    ,    , ,P,LA COURONNE                   ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,119,   ,0,L,500,A1,    ,    , ,P,DIGNAC                        ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1465,1465,2181,2181,2848,2848,3848,3848,537,537,1047,1047,1465,1465,2181,2181,2848,2848,3848,3848,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,120,   ,0,L,500,A1,    ,    , ,P,DIRAC                         ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1577,1577,2293,2293,2959,2959,3959,3959,537,537,1047,1047,1526,1526,2243,2243,2908,2908,3909,3909,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,138,   ,0,L,500,A1,    ,    , ,P,FLEAC                         ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,146,   ,0,L,500,A1,    ,    , ,P,GARAT                         ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,990,990,1328,1328,2045,2045,2710,2710,3711,3711,537,537,990,990,1328,1328,2045,2045,2710,2710,3711,3711,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,154,   ,0,L,500,A1,    ,    , ,P,LE GOND PONTOUVRE             ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,166,   ,0,L,500,A1,    ,    , ,P,L'ISLE D'ESPAGNAC             ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,168,   ,0,L,500,A1,    ,    , ,P,JAULDES                       ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,187,   ,0,L,500,A1,    ,    , ,P,LINARS                        ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,199,   ,0,L,500,A1,    ,    , ,P,MAGNAC-SUR-TOUVRE             ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,210,   ,0,L,500,A1,    ,    , ,P,MARSAC                        ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,537,537,910,910,1250,1250,1966,1966,2632,2632,3632,3632,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,232,   ,0,L,500,A1,    ,    , ,P,MORNAC                        ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,236,   ,0,L,500,A1,    ,    , ,P,MOUTHIERS SUR BOEME           ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,244,   ,0,L,500,A1,    ,    , ,P,NERSAC                        ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,263,   ,0,L,500,A1,    ,    , ,P,PLASSAC ROUFFIAC              ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,271,   ,0,L,500,A1,    ,    , ,P,PUYMOYEN                      ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,287,   ,0,L,500,A1,    ,    , ,P,ROULLET ST ESTEPHE            ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,291,   ,0,L,500,A1,    ,    , ,P,RUELLE-SUR-TOUVRE             ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,341,   ,0,L,500,A1,    ,    , ,P,SAINT-MICHEL                  ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,348,   ,0,L,500,A1,    ,    , ,P,SAINT-SATURNIN                ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,358,   ,0,L,500,A1,    ,    , ,P,SAINT YRIEIX CHARENTE         ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,368,   ,0,L,500,A1,    ,    , ,P,SERS                          ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1467,1467,2184,2184,2850,2850,3850,3850,537,537,1047,1047,1467,1467,2184,2184,2850,2850,3850,3850,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,370,   ,0,L,500,A1,    ,    , ,P,SIREUIL                       ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,537,537,954,954,1293,1293,2010,2010,2682,2682,3682,3682,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,374,   ,0,L,500,A1,    ,    , ,P,SOYAUX                        ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,382,   ,0,L,500,A1,    ,    , ,P,TORSAC                        ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1430,1430,2147,2147,2812,2812,3813,3813,537,537,1047,1047,1430,1430,2147,2147,2812,2812,3813,3813,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
16,0,385,   ,0,L,500,A1,    ,    , ,P,TOUVRE                        ,92,20221031,20221215,GRAND ANGOULEME                                   ,C, ,C,V,0,0,2572000,67600,2572000,0,13100,0,142000,364000,135,0,135,135,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,537,537,1047,1047,1578,1578,2709,2709,3760,3760,5338,5338,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,N,     ,X
